Method,CogC,ev(G),iv(G),v(G)
com.pi.math_vision_android.constants.OrientationConstants,n/a,n/a,0
com.pi.math_vision_android.constants.SymbolRecognitionModelClassConstants,n/a,n/a,0
com.pi.math_vision_android.helpers.CalculationHelper,1.00,1,2
com.pi.math_vision_android.helpers.CameraHelper,1.33,2,4
com.pi.math_vision_android.helpers.ImageManipulationHelper,1.80,5,9
com.pi.math_vision_android.image_processing.ImageProcessingUtility,1.67,3,10
com.pi.math_vision_android.image_processing.MatOfPointComparator,1.00,1,1
com.pi.math_vision_android.maker.EquationMaker,3.00,4,6
com.pi.math_vision_android.recognition_model.SymbolRecognitionModelInterface,1.67,3,5

Package,v(G)avg,v(G)tot
com.pi.math_vision_android,1.70,39
com.pi.math_vision_android.callbacks,1.33,4
com.pi.math_vision_android.helpers,1.80,18
com.pi.math_vision_android.image_processing,1.71,12
com.pi.math_vision_android.maker,3.50,7
com.pi.math_vision_android.recognition_model,2.00,6

Module,v(G)avg,v(G)tot
Math-Vision-Android.app.androidTest,1.00,1
Math-Vision-Android.app.main,1.83,84
Math-Vision-Android.app.unitTest,1.00,1

Project,v(G)avg,v(G)tot
project,1.79,86

